,sentiment,New News
488,negative,Tesla's Third Quarter Earnings: The Brass Ring Is Within Grasp
489,positive,Why Am I Bullish On Tesla?
490,positive,Upslope Capital Q3 2018 Investor Letter
491,positive,Tesla Is Misleading Markets About China Factory
492,negative,"Tesla, Universe And Everything?"
493,neutral,Will The Tesla Model 3 Be Approved For Sale In Europe?
494,negative,Tesla Faces A Margin Problem In 2019
495,positive,"Tesla's Mid-Range Model 3: Bullish, Bearish, Or What?"
496,negative,Tesla Introduces Lower-Priced Model 3 And Removes FSD From Its Product Line: Implications
497,positive,"Tesla's $4,000 Model 3 Price Cut Implies A Higher Battery Price Than Nissan"
498,positive,Tesla: Has Model 3 Demand Collapsed?
499,negative,Tesla: A Tough Time To Chase Profits
500,positive,Why Nio Is A Valid Alternative To Tesla
501,positive,Tesla: No Need To Raise Funding? Wait And See
502,negative,Jaguar i-Pace Outsells Tesla S And X Combined By 40% In Norway
503,negative,Tesla: Waking Up Too Late
504,negative,Tesla's Legal Pain Has Just Begun
505,positive,Why Tesla And NIO Investors Should Be Bullish On China Sales
506,positive,The Tesla Model 3 Production Ramp Has Stalled Out
507,positive,"Tesla Sales Soaring, Competition Failing"
508,positive,Tesla's Road To China
509,negative,Does Elon Musk Really Do More Harm Than Good?
510,positive,On The Tesla Model 3 Being The Safest Car
511,positive,Did Tesla Just Hit The Bottom?
512,positive,Tesla's Most Important Vehicle
513,negative,Fact Checking Tesla's Safest Car Claim
514,negative,Tesla: The Cracks Are Showing
515,neutral,"East 72 Quarterly Report To September 30, 2018"
516,negative,Tesla: Elon Musk Is Dead Wrong About Short Sellers
517,negative,Greenlight Capital's (David Einhorn) Q3 2018 Letter
518,neutral,Tesla's Q3 Vehicle Safety Report Reality Check
519,negative,Tesla's Autonomous Driving Narrative Has Hit A Brick Wall
520,negative,Massive Layoffs And Reorganization Ahead At Tesla
521,positive,Tesla Board Must Make Tough Decision
522,negative,"Tesla's Q3 Could Be Beautiful, But The Stock Isn't Marriage Material"
523,negative,Tesla's Achilles' Heel?
524,negative,Elon Musk's Scarlet Letter
525,negative,Elon Musk's Threats To Quit As CEO Are A Red Flag
526,negative,Tesla: Expect A Blockbuster Third Quarter
527,positive,Tesla: Different Now
528,negative,Tesla: Q4 Now The Hard Part
529,positive,The End Of Snap And Tesla
530,negative,The Tesla-SEC Settlement: Chump Change
531,positive,Tesla: The Bond Market Speaks Again
532,negative,Tesla Refuses To Reaffirm Q3 Profitability And Free Cash Flow
533,negative,Tesla's Most Undervalued Asset
534,positive,Tesla - What Happens To Domestic Model 3 Demand In 2019?
535,negative,Tesla's 'Logistics Hell' Was Made In Palo Alto
536,negative,Tesla Q3 2018 Production And Deliveries: What I'll Be Watching
537,positive,Tesla: The Bond Market Speaks
538,negative,Assessing The Impact Of The SEC's Securities Fraud Allegations Against Elon Musk
539,positive,The SEC Comes For Elon: The View From Longsville
540,negative,Tesla: Breaking Down The SEC News
541,positive,Technology: Where's The Tipping Point?
542,negative,Tesla Is In Deep Trouble As The SEC Sues Elon Musk
543,positive,Can Tesla Be Profitable In Q3?
544,positive,Short-Term Gain Means Long-Term Pain For Tesla
545,negative,Tesla: Pulling Out All The Stops
546,negative,"Tesla: With Profitability On The Horizon, Now Is The Time To Go Long"
547,positive,Tesla Is Killing Competition With Its Charging Network
548,negative,Tesla: Elon Musk Makes Fresh Excuses In Frantic Deliveries Rush
549,positive,Will Tesla Turn A Profit In The Third Quarter?
550,negative,Tesla's Supercharger Moat Is Under Siege
551,positive,Tesla Q3: How Many Model 3s?
552,negative,Tesla: Lithium Supply Secured?
553,negative,Regulatory Roaches In Tesla's ZEV Credit Soup
554,positive,Tesla Needs A Q3 Profit - It's Now Or Never
555,positive,Why Tesla Will Be Overwhelmed
556,positive,Why Just The Act Of Tesla Confirming A Criminal Probe Is So Meaningful
557,positive,Tesla: Someone Should Wake Up
558,positive,Tesla's Growth And Profit Paradox
559,negative,Tesla Q3 Profitability? It's A Trap! (Again)
560,positive,Is Tesla Counting On A Billion Dollar Regulatory Credit Bonanza?
561,neutral,Tesla Model 3 Revenue Is #1 For U.S. Passenger Cars In August
562,negative,Tesla May Now Be Locked Out Of Capital Markets
563,negative,"Tesla's Short Interest Surges, Again"
564,positive,Tesla - Model 3 Demand At Current Prices May Be Causing Inventory Problems
565,negative,Tesla: Margins May Surprise
566,positive,Tesla: An Auto Industry Near-Term Best Buy?
567,negative,Tesla: Fix It Later Doesn't Work
568,positive,Tesla's Finance And Accounting Executive Exodus
569,neutral,What Tesla Has To Do To Raise $2 Billion Capital
570,positive,Will Disappointing Model 3 Production Numbers Cause Moody's To Downgrade Tesla's Bonds?
571,positive,Tesla's Brand Strength: Beyond The Smoke And Noise
572,negative,Tesla: Nikola Likely To Lose Its $2 Billion Suit Against Tesla
573,negative,Q2 2019 Will Be Crunch Time For Tesla
574,negative,Tesla Would Still Be In Trouble If Musk Left
575,negative,Tesla: Running Of The Bulls
576,negative,TSLA Or TSLAQ? Why I'm Betting On Zero
577,neutral,"Model 3 Production Is Falling Short Of Targets, And We Might Know Why"
578,negative,Tesla: 2019 Is The Biggest Problem
579,positive,The Tesla CFO Sale: Much Ado About Nothing
580,negative,Tesla's Bonds Tell A Perilous Story
581,positive,Tesla: Model 3 Progress Stopped?
582,positive,Tesla's Weekend Sellathon
583,negative,Does Tesla's Confusing New Guidance Update Contain A Subtle Q3 Profit Warning?
584,negative,Tesla: Shorts Are Now In Charge
585,positive,Tesla Endgame
586,negative,Tesla's Collapse In China Spells Trouble For 2H Profits
587,neutral,Tesla Is On Track To Meet Targets For The Model 3
588,negative,Tesla: The SEC Paradox
589,positive,Tesla: Additional Things We Now Know About Elon Musk
590,negative,Insideevs August U.S. Tesla Sales Number Implies A 10% Shortfall For Q3
591,negative,Tesla Is Out Of Crown Jewels To Pawn
592,negative,Tesla: Crash Protection Kicks In
593,negative,Tesla Bonds Down To 85 Cents
594,negative,Tesla: H1 2018 Update - Impact Of Model 3 On SG&A And Profitability
595,negative,"Tesla: Don't Panic, Buy The Dip Instead"
596,positive,How Tesla Can Win
597,positive,"Tesla, Software And Disruption"
598,negative,Tesla's Cash Problems Create January Default Risk
599,negative,Tesla: Ignore The Noise
600,positive,Tesla Has Reached A Point Of No Return
601,positive,Tesla In 2022
602,negative,Tesla: Key Risk For Bears
603,negative,Specific Risks To Musk And Tesla From The SEC
604,positive,Tesla: Just Keep Waiting
605,positive,Tesla: How Elon Could Be Out As CEO By 2019
606,negative,Tesla: A Dive Into Class Action Lawsuits
607,neutral,Tesla: Where In The World Did That Revenue Come From?
608,negative,Further Evidence That Tesla May Be Having Problems Raising Capital
609,positive,Apple Has No Reason To Buy Tesla
610,positive,Tesla: Why The Slow Demise Of The Models S And X Is A Bigger Problem Than Model 3's Production Ramp
611,positive,"Tesla: $4,000 And The Top Of The Bull Market"
612,negative,Maybe Elon Musk Should Take SpaceX Public Instead?
613,positive,New Information Implies 10%-Plus Tesla Model 3 Shortfall For Q3
614,negative,What BP's Oil Spill Tells Us About Potential SEC Enforcement For Tesla
615,positive,Tesla Webcast: Is The Worst Yet To Come?
616,negative,Key Takeaways From Tesla's Take-Private Drama And Their Value
617,negative,Tesla: The Coming Consequences Of Its Go Private Embarrassment
618,positive,What Stock Prices Suggest About Tesla's Future
619,negative,Tesla Staying Public Is Big Trouble
620,positive,Tesla: An Outrageous Forecast Could Be Realistic
621,positive,Tesla: Why Hype Is Misleading
622,negative,Elon Musk Has 129 Days To Sort Out Tesla's Future
623,positive,Tesla's Q3 Earnings Will Be Facing Significant Headwinds
624,positive,"Economies Of Scale, Or The End Of The Road For Tesla?"
625,positive,Tesla: What Could A Recapitalization Look Like?
626,negative,Stupid Money Risk Is Real
627,positive,Tesla: August Could Be Telling Month
628,negative,Tesla's Mispricing Tapers
629,negative,Tesla: A Counter To A New Short Theory
630,negative,A Stunning Extrapolation Of Tesla's Reported Inefficiency
631,negative,Tesla's Market Manipulation Lawsuits Could Kill Its Privatization Plans Given What Happened To Porsche
632,positive,Tesla - What Happens To Model S And X Sales In 2019?
633,negative,Post-Musk: Any Tesla Restructuring May Bring Pain To Shareholders
634,negative,Will Tesla Idle Factory In September?
635,positive,Saudi Arabia Is Not Coming To Tesla's Rescue
636,positive,How Tesla Makes A Profit This Quarter
637,positive,"Institutional Investors Are Fleeing Tesla, And You Should Too"
638,neutral,Low Demand For Model 3 Outside Of Existing Reservation Holders
639,negative,SolarCity May Become The Boat Anchor That Sinks Tesla
640,positive,"For Tesla, Time Has Come Today"
641,negative,Musk Just Admitted That His Buyout Talks With The Saudis Began Before He Bought Stock
642,negative,"Tesla: Um, What About Q3?"
643,negative,Whither Tesla After The 'Secured Funding'?
644,positive,Tesla: A Capital Raise In Disguise?
645,negative,Tesla: On The Verge Of Profitability
646,negative,Musk's Tweeting Has Landed Him And Tesla In Potentially Serious SEC Trouble
647,positive,Tesla: Going Private Would Not End Public Scrutiny
648,negative,Tesla 2025 Bonds: One Year In
649,negative,The Privatization Of Tesla: Stray Tweet Or Game Changing News
650,negative,The SEC Should Look Into A Possible Musk-Saudi Insider Trading Angle And The Curacao Entity
651,positive,Hoodwinked?
652,positive,Tesla Going Private? The Next Leg Of The Short Thesis
653,negative,Tesla's Cobalt Blues; Growth Fallacies And Supply Chain Risque Majeure
654,negative,Tesla/Elon Musk: Selling Hats Is Much Simpler And Easier Than Selling Dreams
655,negative,Musk's Irrational Obsession With Short Sellers Is Hurting Tesla Shareholders
656,positive,Tesla: How Much Cash Should It Realistically Secure?
657,negative,Tesla: What Is Elon Musk Up To?
658,negative,Of Musk And Machiavelli (Podcast)
659,positive,Tesla: Stay As Shareholders If The Buyout Goes Through
660,neutral,Should Tesla Shareholders Approve The 'Proposed' Going Private Deal?
661,positive,"Musk Goes All-In With A Privatization Offer, Is He Bluffing?"
662,neutral,3 Things I Think I Think - Tesla X 3
663,neutral,What The Tesla Tweets Are Really All About
664,negative,Tesla 'Going Private' Story Does Not Make Sense
665,negative,"After Musk Go-Private Tweet, There's Only One Thing That Matters For Tesla"
666,positive,Tesla: Going Private Just Makes Sense
667,positive,Tesla: Separating Fact From Fiction
668,neutral,Can The Board Of Directors Get Control Of Musk Before The Next Tweet?
669,negative,"Tesla's Cobalt Blues: Spin, Fake News Or Deception?"
670,negative,Why Elon Musk Desperately Needs Tesla Stock To Stay Above $360
671,positive,"Tesla Buyout: Who Knew What, And When Did They Know It?"
672,negative,Tesla: An Intra-Quarter Cash Flow Examination
673,positive,Tesla: Updating The Debt Picture
674,positive,Dreaming Of An Electric Sky With Tesla
675,positive,Tesla Investors Should Brace For A Credit Downgrade
676,negative,Tesla Shorts Have Won Past Year
677,positive,Energy Storage Underrated Long Term Growth Driver For Tesla
678,negative,Bulls May Not Have Noticed But Tesla's Growth Story Is Dead
679,negative,Tesla: Reasons To Remain Skeptical
680,positive,7 Reasons Why Tesla's Stock Should Continue To Appreciate
681,positive,Tesla: Who Got It Right
682,positive,A Few Tesla Comments Not Seen Elsewhere
683,negative,A Tesla Bear Tries To Be Objective About Q2 Earnings
684,positive,Can Tesla Be Profitable In Q3?
685,negative,All The Reasons Tesla Stock Popped After The Q2 Conference Call
686,negative,Tesla's Earnings: Not Bad Actually
687,negative,"Forecasting Tesla's Q3 Performance: $6.99B In Revenue, $85M In Operating Profit"
688,negative,Tesla's 'Confidence Game' And $2.4 Billion Balance Sheet Hole
689,negative,5 Tesla Thoughts As I Purchase Shares For The First Time
690,negative,Tesla Q2 2018: Key Development
691,negative,Tesla: Disaster Averted For Now
692,negative,Greenlight Capital's (David Einhorn) Q2 2018 Letter
693,negative,Tesla Q2 2018: What I'll Be Watching
694,negative,Questions I'd Be Asking If I Owned Tesla Stock
695,negative,Using Tesla's Q2 Forecast Sensitivities To Predict Q3 Profit
696,negative,Tesla: Bulls Vs. Bears
697,negative,Tesla Disrupting The Automotive Industry With Extreme Manufacturing
698,negative,Tesla Q2 Earnings Is About Avoiding Disaster
699,negative,Tesla's Board Has A Mounting PR Problem
700,negative,Tesla's China Sales Just Don't Add Up
701,positive,How To Trade Tesla Q2 Conference Call?
702,negative,Tesla - A Stealth Capital Raise?
703,negative,Tesla Vs. Ford: Inventory Transparency
704,positive,"Tesla: $35,000 Model 3 Branding Is Gone (For Now)"
705,negative,"Tesla Reservations, Cancellations, Undelivered Inventory, And Cash Flow"
706,positive,Open Letter To Tesla's Board
707,positive,"Share Count Confusion: Dilution, Employee Options And Multiple Share Classes!"
708,positive,How Bad Is Tesla's Cash Position?
709,positive,Upslope Capital Q2 2018 Investor Letter
710,negative,Tesla And 'Supplier Discountgate'
711,negative,Tesla And Montana Skeptic: Our Response
712,positive,The Tesla Short Thesis On Model 3 Demand Is Wrong
713,positive,Tesla: High Hopes For 2018 Finish
714,negative,Tesla Gross Margins And Munro's Cost Breakdown
715,negative,Why Are All Those Tesla Cars Baking In The Sun?
716,negative,Tesla Can Kiss Any Model Y Deposits In 2019 Goodbye
717,positive,Tesla: The Model 3 Mess
718,negative,"Tesla's Semi Might Not Burn Gasoline, But It'll Burn Up Tesla's Cash"
719,positive,Weak Model 3 Demand Is Burning Tesla
720,negative,"For E-Truck Revenues, Look To BYD Rather Than Tesla"
721,positive,The Short Burn Of The Century - Part 2
722,positive,Tesla Smart Money Speaks
723,positive,Tesla Fires A Shot Across The Bow
724,negative,Papa John's Loses Its Papa And Elon's Twitter Tirade - A Rangeley Capital Discussion
725,negative,Tesla's Interest Expense: 'It's Complicated'
726,positive,Tesla: Where Is The Board Of Directors?
727,positive,Are Institutions Abandoning Tesla?
728,negative,"Munro Reverses Course, Suggests 30%-Plus Margins For Tesla's Long-Range Model 3"
729,negative,"Tesla Q3: $6B Sales, Top 20 U.S. Car, And Path To Shanghai With $12B To Pay For Factories"
730,negative,Tesla's China Factory Resolves Neodymium Risk To Model 3 Production
731,negative,Indications That Tesla's Burst Rate Is Not A Fluke
732,negative,Tesla May Be Seeing Limited Demand For Its Current Production
733,neutral,Model 3 Backlog Conversion Ratio At 30% Challenges Tesla's Growth Narrative
734,positive,Tesla Model 3 Drama Continues
735,positive,An Investor's Test Drive Of The Autonomous BEV Pitch
736,negative,Tesla Simply Has Too Many Variables
737,positive,What Is Tesla's China Strategy?
738,positive,Tesla: Get Ready For A Huge Third Quarter; Dips Are Now Buying Opportunities
739,negative,Tesla: Q2 Numbers Coming Down
740,negative,I Believe Musk Is Bluffing About Tesla Q3 Profits
741,positive,"Tesla's New, Unsold Inventory Is Soaring, Again"
742,positive,"If Tesla Hit Its Production Goal, Why Did The Stock Crater 15%?"
743,positive,Questions For Tesla's Q2 Financial Results Call
744,positive,Tesla: No Return
745,negative,"BYD Making Big Battery Investments, Tesla To Follow"
746,negative,Has Tesla Hit The 200K Vehicle Delivery Threshold?
747,positive,Tesla: Now Things Get Interesting
748,negative,Tesla Model 3 Sales Missed Consensus By 34% In Q2
749,positive,Tesla Closing In On Production Target
750,positive,Tesla Hikes Loan Rates Again
751,negative,"Twists And Turns In The Tesla Story: A Boring, Boneheaded Update"
752,positive,Is Tesla Really Leading The Auto Industry In Innovation?
753,positive,What Tesla's Model 3 Price Cuts Tells Us About Its Margins
754,neutral,"Tesla Model 3 On Top 100 List, Rising Fast"
755,positive,Value Tesla On The Basis Of Innovation And R&D
756,positive,Tesla Q2: How Many Model 3s?
757,negative,Tesla's Profitability Could Explode Next Year As Company Cuts Costs And Improves Efficiency
758,neutral,How Close Is Tesla To Hitting Its Model 3 Production Targets?
759,positive,Vetting Tesla's Latest Production Facility
760,negative,Jeep Outgrew Tesla Model 3 Four-Fold In 2018
761,positive,An Optimistic 5-Year Case For Tesla
762,positive,Tesla's Borrowing Market Improves
763,positive,Is Tesla Overstating Margins?
764,negative,Tesla's Exposure To Trade War Goes Far Beyond Chinese Tariffs On EV's
765,negative,Tesla Energy - Tesla's Billion Dollar Secret
766,positive,Understanding Tesla's Layoffs
767,negative,CoverDrive's Forecast For Tesla's Q2: A GAAP Loss Exceeding $700 Million
768,negative,Tesla: 9 Bear 'Facts' That Just Ain't So
769,negative,Tesla's Path To A Trillion Dollar Valuation (Victor Dergunov)
770,positive,Tesla's Upcoming Quarterly Reports: Investor Information At A Premium
771,positive,Tesla's Valuation: The Bullish View
772,negative,The Tesla Pentagon Papers: Huge Q2 Shortfall
773,positive,Tesla May Miss Model 3 Production Targets - Again
774,negative,Tesla's Silly Price
775,negative,Tesla: Is The Short Burn Of The Century Coming Soon?
776,negative,Tesla: Playing The Blame Game
777,positive,An Honest Look At Tesla's Leverage
778,positive,Tesla Semi: Losing Appeal To Rivals
779,negative,Tesla: Elon Musk 'Has Gone Full Trump'
780,positive,Tesla Energy May Be Dead
781,positive,Is Tesla Losing Its Mojo?
782,negative,Driving The i-Pace: How Jaguar Hit Tesla Where It Hurts
783,positive,Tesla: Making And Breaking
784,negative,Tesla: Very Selective Disclosure
785,positive,The Tesla Short Thesis On Competition Is Wrong
786,positive,Tesla Shares Are Rising On Misinformation
787,positive,Tesla's Distractions
788,negative,Are Tesla Shorts Ego Driven?
789,negative,Why The Shorts Get Burned: Tesla And The Theory Of Reflexivity
790,neutral,"Tesla: What Full Self-Driving Features Will Be Available, And Why?"
791,positive,Promised Model 3 Margins Will Never Materialize
792,positive,Tesla: Nickel For Your Thoughts?
793,negative,Investor Sentiment And Tesla Stock Price
794,negative,Tesla Doubles Down That J.B. Straubel 10-Q Language Is Meaningless
795,positive,Can Tesla's Energy Division Save The Company?
796,negative,Tesla Could Earn $645 Million In Q1 2020
797,positive,Here Are The Critical Takeaways From Tesla's Annual Meeting
798,positive,Tesla Model 3 Reservations - The Tip Of The Iceberg
799,negative,"Elon Musk: Happy Chasing Moonshots, Not Profits"
800,negative,Predicting Tesla's Mass Market Demand Using Regression Analysis
801,positive,Tesla Gives Model 3 Update
802,positive,How Tesla's Business Model Lowers Its Net Margin And Return On Capital
803,negative,How Tesla's Disintermediated Channel Boosts Gross Profits By More Than 30%
804,positive,Tesla's Smart Shorts
805,positive,Tesla: A Strong Buy - Model 3 Profitability Much Greater Than Perceived
806,negative,Could Tesla Hit 200K In June?
807,negative,"Big Miss: In The U.S., Tesla Sells Only 1,412 Model 3 Units Per Week In May"
808,positive,"How Tesla Can Get To Positive Free Cash Flow At 10,000 Model 3s Per Week"
809,positive,"The Race To 100,000: Tesla Model 3 Vs. Nissan LEAF"
810,neutral,"Tesla Model 3 Production, Prices, And Mass Market Appeal (Or Not)"
811,negative,Tesla's Autopilot: We Need To Have A Serious Talk
812,positive,Tesla Is Getting Tough
813,negative,Tesla's European Plug-In Market Share Fell By One Third
814,positive,The Downfall Of Tesla
815,positive,Tesla: Reading The VIN Leaves
816,positive,Tesla Must Generate Over $1.3B In Automotive Gross Profit And Sell Approximately 70K Model 3s To Reach Profitability In Q3 2018
817,negative,Tesla: Longs Vs. Shorts
818,negative,Elon Musk Told Us Where He Expects Model 3 Margins To Come From
819,positive,Tesla's Model 3: You're Going To Need A Bigger Parking Lot
820,negative,"Apple Ignores Tesla, Instead Partners With Volkswagen"
821,negative,Tesla: Investors Beware Elon Musk Media Attack
822,negative,Tesla Finally Sees Some Good News (And Other Things)
823,negative,Tesla: Time For Bears To Step Up
824,positive,Financial Exchange Stock Talk: Erich Reimer On Apple And Tesla
825,positive,Tesla: Would An Annual Profit Be Good For Shareholders?
826,negative,Tesla Performs Magic
827,positive,Tesla's Path To Profitability
828,negative,"Tesla Semi: It's Climate Change, Stupid"
829,neutral,"Tesla: Why $35,000 Is So Important"
830,positive,Tesla: We May Never See A Mass Market Model 3
831,positive,Tesla And Its Institutional Investors
832,negative,Drawing Tesla's Path Of Growth And (Still) A Bearish Case
833,negative,Tesla: Going The Wrong Way
834,negative,Tesla: Tsunami Of Sales And Profits In Q3
835,negative,Tesla Growth Narrative - The Economic Problem
836,positive,Tesla: China Plant Would Be Nice But Who Will Pay For It?
837,negative,The Overlooked Reason Why Tesla's Bankruptcy Is Unlikely: SpaceX
838,positive,Energy Storage To Boom For Tesla In Medium Term
839,negative,Tesla CTO JB Straubel Dropped From 10-Q - Why?
840,negative,Tesla's 2018 Second Half: The Final Flash Of A Dying Star
841,negative,Why Is Tesla Violating The KISS Principle?
842,negative,Tesla's ZEV Credit Lifeboat May Hit The Iceberg
843,positive,"Tesla Semi Launch: Delayed, Crew Missing"
844,positive,Has Tesla Been Effectively Shut Out Of The Capital Markets?
845,negative,Sell Side's Defense Of Tesla And Spotify Reeks Of Conflict
846,negative,Tesla's Automotive SG&A - The Costs Of A Direct Sales Model
847,negative,"Tesla's ZEV Credits: Iceberg For Shorts, Life Boat For Longs"
848,positive,The Short Burn Of The Century
849,negative,Tesla: The Imperative For A China Plant
850,negative,Is Tesla's Bankruptcy Risk Really Same As Ford And GM?
851,negative,Tesla: Deliveries Trump Production
852,negative,Is Tesla's Default (Or Bankruptcy) Imminent?
853,positive,Tesla Bonds Head To New Lows
854,negative,Tesla: Why Betting Against Toyota Was A Bad Idea
855,negative,"Tesla Motors: Slowly, Then Quickly"
856,positive,Tesla's Credit Agreement: So Misunderstood
857,positive,The Tesla Semi Is Dead
858,negative,Recent Developments Validated My Thesis On Tesla
859,negative,Tesla: Elon Musk Tells Shorts Not To Worry (And Other Things)
860,negative,Tesla's 10-Q Reveals Truth About Potential Capital Raise
861,negative,Tesla's Deteriorating Situation Could Hurt Its Regulatory Support
862,negative,Tesla's Warranty Costs Continue To Climb
863,positive,There Is No White Knight Coming To Save Tesla
864,negative,"Tesla's Sky-High Op Ex, This Quarter's Coming Carnage, And The Things We Learned From The 10-Q"
865,negative,Amazon Vs. Tesla
866,positive,Tesla: 10-Q Paints Worse Picture
867,positive,Tesla Needs A COO
868,positive,Tesla CDS
869,positive,Tesla Is Still A Zero
870,positive,Tesla's Model 3 Reservations Paradox Explained
871,positive,Tesla: Are Profits Really Coming?
872,negative,Tesla: Disregard The Noise - This Is A Buying Opportunity
873,positive,It's All About A Capital Raise For Tesla
874,negative,Shorting Tesla On Elon Musk's Earnings Call 'Tantrum' Would Be A Mistake
875,negative,"Tesla Exiting The Car Business Would Be Great For Carmakers, But Not For The Reason You Might Think"
876,negative,Dissecting Tesla's Quarterly Letter
877,neutral,"Tesla: The Model 3 At 5,000/Week Is Not Enough For Profitability"
878,positive,"Tesla's Q1 Revenue Beat Driven Largely By Accounting Changes, Model 3 Currently Loses $8K Per Unit"
879,positive,My Quick Take On Tesla's Q1 Results
880,negative,Tesla: Bad News Gets Worse
881,positive,Tesla: Something Isn't Right
882,negative,Musk's Personal Finances Threaten Tesla's Stock Price
883,negative,Tesla: Beware The Smoke And Mirrors
884,positive,"April Estimates Are Out, And Tesla's Model 3 Sales Bombed"
885,negative,Munro's Model 3 Teardown Spells Big Trouble For Tesla
886,positive,Tesla Earnings Preview
887,negative,Tesla: On VIN Registrations And Lease Accounting Changes
888,negative,The Importance To Tesla Of The Imminent Jaguar I-Pace Launch
889,negative,What Tesla Bears Just Don't Get
890,negative,Tesla Q1 2018: What I'll Be Watching
891,negative,Tesla Earnings: Rally The Troops
892,positive,Tesla Energy Storage Business About To Take Off
893,positive,Could A Merger With SpaceX Save Tesla?
894,negative,Tesla: Elon Musk Increases Personal Leverage
895,negative,Unlocking The Mystery Of Tesla's Model 3 Ramp
896,neutral,Is Tesla's Western European Director About To Leave?
897,positive,Tesla's Short Interest Surges
898,positive,Tesla: It Feels Like Endgame
899,positive,Tesla's Ramp-Up Is Neither That Impressive Nor Rare
900,negative,What's Tesla's 'One More Thing' On May 2?
901,positive,Tesla Is Not Too Big To Fail
902,positive,Tesla: Q2 Will Likely Disappoint
903,positive,Tesla: Where Exactly Is The Upside?
904,negative,Auto Industry Veteran: Ignore The Tesla Model 3 At Your Peril
905,positive,Tesla: The Next 10 Days
906,negative,Tesla's Pathway To Profitability
907,negative,The Technicals Of Tesla - Part 2
908,negative,Tesla Bull Vs. Bear Thesis
909,neutral,Tesla And A Capital Raise: Not So Fast?
910,negative,Tesla: Musk Claims Profits In Q3 And Q4 - What Is He Thinking?
911,positive,Tesla: Economies Of Scale
912,negative,Regulation Will Kill Tesla's Self-Driving Ambitions
913,negative,Tesla May Hit The Wall On Battery Capacity By 2022
914,positive,Tesla Margins Are Likely Toast
915,positive,Exciting New Research Lends Support To Tesla's Computer Vision Strategy
916,positive,"No, Tesla's Warranty Costs Did Not Fall In 2017"
917,positive,"Tesla: Thank You, President Xi"
918,positive,"Morgan Stanley: 'Hey, Maybe The Government Will Bail Out Tesla'"
919,negative,"Tesla Quits On Producing 5,000 Model 3s A Week (By Producing 5,000 Model 3s A Week)"
920,positive,Tesla: An Updated Valuation
921,positive,Tesla's Build Quality Remains High
922,negative,A California Lawsuit Tosses Another Wild Card Into The Tesla Pile
923,negative,Elon Musk Has Buried Tesla With A Single Tweet
924,negative,"Musk Says Tesla Has Too Many Robots, But It Also Has Too Many Employees"
925,negative,"In 10 Months, Tesla Could Prove Its Critics Wrong About The Model 3 - Here's The Math"
926,negative,Tesla: Disclosures? We Don't Need No Stinking Disclosures
927,negative,Tesla Capital Raise In Focus As Elon Musk Gets Ready To Sell Model Y
928,neutral,"Despite Tesla's Statements To The Contrary, A Capital Raise Is Coming Soon"
929,positive,Tesla Is Getting Desperate
930,positive,Tesla's Roadster And Semi - What Will The 10-Q Show?
931,negative,Tesla: Competition Approaches - Why It's A Good Thing
932,positive,Tesla's Model Y: Why? Where? How? When?
933,negative,Tesla: Dispelling Misconceptions
934,neutral,How Green Is The Model 3?
935,negative,Tesla: Discrepancies In Quarterly Reporting Of Subcategories Within SG&A And R&D
936,negative,Is Tesla Achieving Promised Economy Of Scale?
937,negative,Tesla: How To Trade The Volatility
938,positive,"For Tesla, Less Is More"
939,negative,A Tesla Model 3 Compared To The Competition
940,positive,Tesla's Big Bill Coming Due For Purchased Property And Equipment
941,negative,Tesla Credibility Remains Questionable
942,negative,Tesla Powerwall Will Surprise
943,positive,Tesla: The Model 3 Moment Has Arrived
944,negative,Tesla: Air Friction Is Now Our Only Constraint
945,positive,Is Market Misreading Tesla's April 3 Press Release?
946,positive,Tesla Under Fire
947,negative,"Shorting Tesla Is A Risky Move, The Timing Has To Be Right"
948,negative,Does Buying Tesla's 2025 Debt Tranche Make Sense At This Yield To Maturity?
949,negative,Tesla Trouble: By The Numbers
950,negative,Tesla's Q1 Numbers Have A Dark Side
951,negative,"After 6 Months Of Delays, Tesla Is Finally On Track With Model 3 Production"
952,positive,Confirmation: Tesla Is Subject To The Additional 25% Tariff In China
953,negative,Tesla's Exposure To Trade Wars
954,negative,"Tesla Model 3: Production Up In First Quarter, What's Coming For The Next 3 Quarters?"
955,positive,"China: Apple Spared, Tesla Punished"
956,positive,How Severe Are Tesla's Model 3 Production Problems?
957,negative,A Cautionary Tale On Overvalued Stocks Part 2: Tesla
958,negative,I Don't Believe Tesla's Weird And Wacky Deliveries Report
959,positive,Financial Exchange Stock Talk: Galileo Russell On Tesla
960,neutral,Tesla Model 3 A Mass Market Vehicle?
961,negative,Tesla Q1 2018 Deliveries Narrative Tells Tesla Is In Trouble
962,positive,Tesla: Why Did Short Interest Decline?
963,negative,Musk's U-Turn: Back In Production Hell And Sleeping On Factory Floor
964,positive,Tesla: Another Quarterly Miss
965,negative,Tesla's 21% Q1 Sales Miss Means Estimates Will Be Coming Down
966,positive,Tesla's Bond Plunge
967,negative,Tesla's Saviour Could Be Arriving Shortly
968,positive,Tesla: It Was The Driver's Fault
969,negative,Tesla 2025 Bonds: Is Now The Time To Pick Up The 7.6% YTM?
970,positive,Tesla: Stay Away
971,neutral,"Why Tesla And California Are Key To Electrifying The U.S. Automotive Industry, Regardless Of Low Oil Prices And/Or Anti-Green Policies"
972,positive,Tesla Model 3 Costs More To Charge Than A Gasoline Car
